Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:
overall,great place to staycay & the facilitiee is great over there too. had a very exp for two days and would totally recommend people to come with their family & friends. the facilities & amenities is great too.,50,Mar-21,Undisclosed,1,0
Perfect short stay,Perfect location with wonderful service. The check in staff even noted it was my birthday month and had Yolanda (the robot) sent up some cookies. Nice touch to a pleasant evening. Will definitely stay here again.,50,Mar-21,Undisclosed,1,0
Simple Staycation,"Wanted to simply stay here due to the robots. Specially called to request for some small items to be delivered to us and I can say definitely the highlight of our trip.   Room wise-we know it is small. 3 adults to move around, it is a squeeze...but can’t complain as we know that’s what we have signed up for. Bathroom was okie, just that I think you need to be highly comfortable with one another as somehow, you would be able to the a bit of the silhouette of the person in the bathroom. At least it wasn’t an issue for us.   Bed was very soft. Need to find spots with not so soft bed. But number of pillows was definitely enough.   Highly recommended if you only need the hotel to sleep and rest. If you want to just stay in the hotel to enjoy the facilities...then I would choose other…",40,Nov-20,Travelled with friends,114,22
Cool hotel for a short staycation,"Since we have not utilize the SRV vouchers, we thought it would be nice to book a short staycation before the school reopen. I came across Yotel Orchard, which is in a nice location in Orchard, and it seems like a cool hotel, with the futuristic theme. The price was reasonable considering, it can sleep 3 persons and come with breakfast as well. We arrive slightly later at 3pm to check in, and there was no crowd in the lobby. We used the mission-control (manned counter) to check in, and pay an additional top up for the overnight parking which came up to be $21.40.  After checking in, we went to the 10th floor to book the time slot for the swimming pool. The pool is quite small, and with children playing in it, you have to watch where you swim.  The room was nice and clean,…",40,Mar-21,Undisclosed,33,58
Very Cool hotel,Located in the central area of orchard. The room is so cool. Breakfast is limited choices but it tastes yummy. The mission control team sent the robot to sing the birthday song for us which is so memorable during the stay. Thanks Yotel.,50,Mar-21,Undisclosed,2,0
Room was extremly small,"First Class Queen room - The Room was extremely small, not worth the price paid. There wasn't enough space to even open my luggage. The room was very small, the bathroom was extremely small. And the deck is not clean.",10,Mar-21,Undisclosed,1,0
Housekeeping can be better,"The bed is quite comfortable but the space is a bit cramp. If booked 2 rooms with connecting rooms, the interconnect doors are not able to stay opened. There is no stopper provided. The location is quite accessible to F&B outlets, however quite a walking distance from Orchard MRT station. Do check out the expiry dates of the items in the room, as some may be expired or near expiry. The overall staying experience is just ok.",30,Mar-21,Undisclosed,2,0
My Staycation,Enjoy my staycation. First time i book this hotel. The bed is very comfortable...can watch my favourite korean show..they provide hair dryer n ironing stuff. The shampoo n conditioner is a quality one. Hope to comeback again. ,50,Mar-21,Undisclosed,1,0
Early birthday family staycation,"Thank you team Yotel from the front desk to the komyuniti restaurant team. Everyone was helpful and took great care of my family with my mother in the wheelchair.  We got early checkin as our connecting room was ready about an hour before the scheduled check in time. Received a sweet surprise from Yolanda for our birthday boy and enjoyed the pool for the 2 nights stay. Proximity to amenities in the surrounding area means no shortage of food and activity...we even caught a midnight movie on our last night stay. And singapore being so efficient, everything was a grab away. But once again thank you team Yotel. You guys are awesome. My mother and kids gives a sign of approval so we will definitely come back. Highly recommended. Ps, remember to bring down the blinds when you want to…",50,Mar-21,Travelled with family,58,14
"Bad service, YOTEL orchard, Singapore","Reason is simple, made a request for check out at 1pm was rejected. And then when I ask how about checking out slightly after 12noon, even like 1205, person name Sahrul on the phone at the front desk say NO.  Enough said for NOT accommodating for simple request",10,Mar-21,Travelled with family,2,0
No more than 2 nights here,"If you are planning a family staycation for 3 (8-10yo) and are able to and willing to afford the First Class suite for 2N ( no more ) this is an option. Suite is ok for 2.5 people no more than 3 adults, windows are ceiling to floor in the showerstall so lower those blinds or prepared to flaunt what you got! Be either early (before 8am or after 955/10ish am to avoid breakfast crowd) as minimally staffed. OK for the one off experience but not Round 2 for us.",30,Mar-21,Undisclosed,1,0
SmartTech and Comfort in 1 Cabin,"Check-In was done in a swift. Staff at Mission Control was really friendly and explained clearly on the details, clauses. Room service was also efficient, met Yolanda, the robot :D Definitely made my day. Called in to Komyuniti to order some food to dine in the room before checking out. Despite several return calls due to some technical issues, not much delay to my hungry stomach, kudos to that! Food quality was good and thanks to all the prompt and good service, it made my staycation a really good one. Will definitely be back again!",50,Mar-21,Undisclosed,1,0
A GEM in Orchard Road,"We booked a family room with view and stayed for one night. TThe location is fantastic and we used it as our base to explore the area.  A lot of eateries and shopping ccentres.  Been to many places particular Emerald hill,  Orchard gateway library and wheelock 卓尔bookshop. ",50,Mar-21,Undisclosed,17,3
