Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:
Love my stay at Hotel G,Amazing experience with hotel G book the outdoor movie package for my son birthday.. Hotel staff Anggun and Eiwei personally gave us cheese cake and brought to our room. so touched by them❤️❤️   Cosy room with nice decor my children loves their stay. Fast response in any issue we call them and check in was hassle free too.  Thumbs up for the excellence service hotel G.  Love everything bout this hotel. Will definitely come again.,50,Jun-21,Travelled with family,3,0
Hotel is good,"Just recently stay at the hotel. Room was small but still have space to but your item. Check in was fast and near to Bugis Mall. Stuff is friendly to at the counter for both check-in n check-out, didn't get their name. Might book again for my next staycay trip 😊",50,Jun-21,Travelled as a couple,1,0
Small hotel but staffs are amazing!,"Me and my bf were here for a 2D1N staycation. The hotel room given to us was spacious. We have chosen the package which comes with burger and the food will be sent up to our room which is very convenient. Thank you to manager Bobby for accommodating us with late checkout, ensuring we will have enough time to finish our food. Other staffs attended to our requests promptly. We enjoyed and will be back again!",50,Jun-21,Travelled as a couple,1,0
Excellent stay,"A lovely, quaint hotel with so much character. My partner and I enjoyed our stay, and the room had everything we needed. Special shout-out to the hotel manager, Daryl, who was kind enough to give us an early check in and late check out. Made our stay even more pleasant with his hospitality and impeccable service. Thank you, Hotel G.",50,Jun-21,Travelled as a couple,1,0
Awesome experience,"Front desk team was very calm and friendly, check in was a breeze; explained how food will be delivered and what time we wanted our breakfast was delivered. Room was great to just chill and relax, and be away from the buzz.   Walking distance to Bugis+ and bugis junction!",50,Jun-21,Undisclosed,1,0
Exceeded my expectations!,Booked for a day stay for some personal time. Room was clean. Had a window view even though I booked one without a window. Guess I had a free upgrade :) Had a pleasant stay. Will definitely recommend this place!,50,Jun-21,Undisclosed,12,0
Awesome experience😊,A big shout out to Daryl from Front Office. He made sure that my hotel reservation is taken care of as we have to change date due to some personal issue. He personally arranged and prepared a birthday surprise for my partner which we did not expect. Will definitely come back again like we always do! #actofgrace,50,Jun-21,Travelled as a couple,1,0
-,"A peaceful night stay, will definitely come back again! Room is spacious with comfy pillow bed. Worth the value, easy access to Town and Transportation. Staff’s are so friendly and welcoming.  This property deserves a 5 star rating,  Recommended.",50,May-21,Travelled as a couple,1,0
Excellent Stay,Impromptu stay using SRV Vouchers. Check-In early and got an upgraded room on higher floor. Awesome decor.. love the vibe of this whole room. Hotel is super quiet considering there were quite many people staying here. Comfy bed and love the amenities given. Friendly staff! Overall excellent experience. Thank You Hotel G :),50,May-21,Travelled as a couple,2,0
Birthday Staycation,"Good experience at hotel G! Daryl, Ziwei and Bella are the best customer service provider ever! I felt very welcome and heartwarming experiences from them! Will keep coming to Hotel G for their services!",50,Jun-21,Travelled as a couple,2,0
Weekend getaway,"Our stay at Hotel G was wonderful! Our stay was smooth and delightful from pre arrival to departure. Thank you Dayana for taking care of our reservation and Bobby for upgrading us as it is also our anniversary stay. Upon check in, Zi Wei greeted me warmly as my boyfriend has checked in first and was very friendly and professional throughout the registration process. When my boyfriend entered to our room, he sent me a picture of a bottle of red wine arranged by Howard. What a surprise! The room is very cozy and comfy, I could stay in bed all day! Although I hoped we could have more channels for movies. But other than that, everything was perfect. It was a very lovely and enjoyable stay! Thank you to the team in Hotel G! Will definitely come back again next time! Take care and…",50,May-21,Travelled as a couple,5,3
Exceptional 2 night stay in Hotel G,"My 2 night stay in Hotel G has been a memorable one. From the pre-arrival experience with Dayana (reservation) and Bobby (Front office), prompt replies and updates from them when my room is ready to check in on day was awesome. This allows us to plan our time better especially with the kind gesture of the early check in. Upon arrival, Ziwei (Front Office) welcome us into the hotel professionally and Vcheck us in warmly. In addition, Howard (Front Office Manager), stopped by to have a chat with us before we enter our room. To our surprise, Howard arrange amenity for us as this is our anniversary stay, very thoughtful of him. The room was great comparable to a 5 star hotel room standard. Overall, this stay has been magnificent with the staffs that I have encountered and i would…",50,May-21,Undisclosed,9,7
Review of Hotel G Singapore,Great room and service.  Service staff were polite and professional and there was smooth and effortless check-in and the menu at the restaurants is great. Toiletries are great and the wi-fi reception is wonderful! Definitely would love to come here again!,50,May-21,Undisclosed,2,0
Awesome Experience,"Great environment and friendly staffs. Prompt email reply from the team (Shyidah, Dayana, Hema,  Shawn & Zi Wei). Feel thankful to have the place for our special occasion. Definitely will be back for staying soon. Thanks for the personlized service for the birthday arrangement.",50,May-21,Undisclosed,1,0
Very good,"Very clean and friendly staffs, but will be good to have fridge inside the room. Aircon is very powerful, music from the TV is good. Food at Ginett is awesome! King size bed is legit but its 2 super single bed combine. Good location too! Overall very good!",40,Apr-21,Travelled as a couple,1,0
