Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:,Hotels
Hotel stay review,"The breakfast was at a good portion , service was good. But one think that can be improved is that if only the room can be slightly bigger. The view I got on 29 floor was awesome! Contactless robot yoshi sending us our amenities was damn! I’ll will definitely come back again when there is great deals! ",40,May-21,Undisclosed,1,0,Yotel
Awesome stay but breakfast is not worth it,"The stay was awesome, staffs were really “on the ball” and ready to serve guests anytime. We had to pre-book a timing for swimming pool but realise there was a lack of control of time spent in the pool restriction. A couple was in the pool for more than 1hr 30mins and still there after we left. Also, when we had our breakfast. I realise macdonals could have deliver a better version than them in a cheaper price. Breakfast is only limited 1 set per pax and the amount is not even filling. Suggest people to eat out instead! ",40,May-21,Undisclosed,1,0,Yotel
Stayover,"The bed is too soft and not so comfy cracking sound whenever there is movement. Breakfast werenot served hot and variety is limited. However, overall is a good experience for my family. Location wise acceptable ",40,May-21,Undisclosed,1,0,Yotel
Great for a solocation,Yotel had everything I needed for a short staycation. Location was great too as it was located within orchard and had direct access to International building. I highly recommend it for solo travellers or couples who just want to enjoy a short relaxing staycation but probably not for bigger groups as the rooms are small cabin-sized. I loved the adjustable bed and the softness was just heaven! Slept really well for both nights I was there and I was kind of reluctant to leave on the last day of my solocation.,50,May-21,Undisclosed,1,0,Yotel
Staycation at Yotel,"Although room is small, it is well designed and gives that cosy compact feeling. Location of the hotel is superb too. Right beside a shopping mall with cinema and walking distance to other shopping malls.",50,May-21,Undisclosed,3,9,Yotel
Your go-to hotel guys!!,"This is your go-to hotel for staycations or business trips. Be it solo, family, couples. Superbly designed, modern, user friendly, space saving design in compact rooms, designers did a spectacular job. Clean interiors. Hotel management did an excellent job in maintaining this standard of service be it cleanliness of rooms, front desk reception, restaurant service, food quality etc. Keep it up! This is your go-to hotel for staycations or business trips. Be it solo, family, couples. Superbly designed, modern, user friendly, space saving design in compact rooms, designers did a spectacular job. Clean interiors. Hotel management did an excellent job in maintaining this standard of service be it cleanliness of rooms, front desk reception, restaurant service, food quality etc. Keep it…",40,May-21,Undisclosed,1,0,Yotel
Overall everything is good,"Overall location is good,  although the room is small but it clean and comfortable. Value for the price. Yoshi and Yolanda is cute and interesting too. Get them to deliver water to your room. Will visit again.",40,May-21,Undisclosed,1,0,Yotel
Great stay,"Overall the hotel stay at Yotel Orchard was great. It's located around heart of Orchard so shopping and dinning is convenient. Although the hotel room size was quite compact for 2 person to stay in, there is still some allowance for movement. The bathing area was great, there was a nice view where can view the sunrise and sunset.",40,May-21,Undisclosed,1,0,Yotel
First stay in Singapore Hotel ,It was great for a good location at Orchard Road.   Room is clean and bed is comfortable to sleep. WiFi are strong connections within the hotel.  Customer service not so good as is slow to response.   Overall is good and I will come back again. ,40,May-21,Travelled solo,136,75,Yotel
"Lovely hotel, great service hotel, good price!","Lovely hotel with all the amenities you can find in a 5 star hotel, just right for a short stay since limited space for luggage. Great service from all staff especially the mission control team. Staff were very accommodating to our requests and whatsapp one day earlier informing us that we could check-in early was such a nice surprise.  Robots were so cute. Kids absolutely loved climbing up and down the bunk bed and seeing the robots go on their missions. Neat view from the bathrooms as well. Breakfast was busy and food only so-so but good variety. Really easy to eat out and pick up food from surrounding orchard road. Very convenient location, sheltered pathways all the way to orchard mrt station which is very nearby. Excellent price for all the good points above!   ",50,May-21,Undisclosed,22,28,Yotel
Compact modern room,"Room was small and compact with barely space for luggage. Very compact size. Interesting concept of gliding bed with button by the side. For 3 pax, it was small Queen bed with a single bunk bed on top. 2 kind of blinds (dark and light) at the bathroom with shampoo, conditioner and shower cream. Got hand sanitizer, toothpaste, toothbrush, hand soap, hand lotion by the sink, plus paper cups, iron, and hair dryer in drawers. Got USB ports under the TV and next to the phone. Call 30 for complimentary bottled water if the 3 bottles next to the TV were not enough. Will be delivered by the in house robot. Free WiFi.",40,Apr-21,Travelled with family,1129,93,Yotel
Staycation,"We all have different expectations based on the price we paid for the hotel stay. For a 5 star hotel, i will have a set of higher expectations and more critical but i am fully aware that this is not a 5 star hotel, and for the price i paid for yotel, it is definitely value for money, if not exceeding expectations.  Some criterion cannot be compromised no matter the class of hotel. They are..   Cleanliness The hotel is clean, the towels are fresh, and no foul or cigarette smell.  Functionality The heater and aircon is working fine. The lights are working fine, in fact didn't find any faulty areas  Basic Ammenities There are shampoos, body wash, hand wash, body mosturiser, toothpaste and toothbrush. Hair dryer, iron and even an umbrella. (considering the rainy weather in sg)  …",50,May-21,Travelled as a couple,47,33,Yotel
"So-so, you get what you paid for","The hotel was difficult to find, needed 5-10 mins of walk. Rooms were tiny, but overall it was clean and the service was not bad. The views were meh, breakfast was slightly cold when it was served to me.",40,Apr-21,Undisclosed,3,5,Yotel
"Cabin concept, simple yet stylish","The room may be smaller than other hotels but there are space under the bed for big luggage, a luggage rack and a open concept closet to open the small luggage. The food at komyuniti is delicious! Try the carbonara and juices! They also have many promotions. Rooms had the basic amenities and the pool is small but pretty. Gym has limited facilities but enough for basic workout like weights,treadmills etc. Bed is comfortable and pillows have two types I believe. It is still soft pillows but frankly, harder than many other branded hotels I stayed in. The service is awesome. They wrote a handwritten card and that's not something all hotels invest time in. Theres no bellman but expected from the covid situation of manpower crunch. Overall a good stay, will recommend if your priority…",50,Apr-21,Undisclosed,4,3,Yotel
