Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:,Hotels
F1 Singapore Trip,"Always the best place to stay when you are in town for the Formula 1. The staff are fantastic,they always great you with a smile. To top it off, the food is great and the accommodation is first class.",50,Sep-19,Undisclosed,1,2,ShangriLa
absolutely amazing in the heart of singapore,"fast check in  excellent location  great service - help with storing luggage post , taxis etc lounge area is nice with ample space and silence for business meetings coffee shop is also decent nice pool, quiet rooms, polite staff & good views",50,Sep-19,Travelled on business,2,4,ShangriLa
Best MICE Hotel In Singapore,I worked with Sales and Events Manager all over Asia for Meeting & Incentive Groups.  Mercadia Wong and Aisyah Ahmad are amongst the best hotelier you can work with.  Their attention to details and swift response are rarely found in modern world.,50,Sep-19,Travelled on business,5,13,ShangriLa
Luxury for the entire family,"We had an amazing time at a staycation for our little family. Asian hospitality is unparalleled but Singapore often lags behind in this area - Shangri-La proved it otherwise. It is one of the most child friendly hotels I've ever stayed at, without compromising on luxury. The hotel staff were extremely accommodating (I was a strict detox and they went out of their way to cater to my idiosyncrasies).  Excellent food options (without breaking the bank), leafy but central neighbourhood, a ton of activities for children and beautiful newly renovated rooms - we will definitely go back!",50,Sep-19,Undisclosed,3,6,ShangriLa
An absolutely lovely hotel,"everything is excellent here. Service, rooms, food, breakfast, kids breakfast, family oriented, orchid garden, lush environment...the list goes on, and on. the only thing irritating is people who run out at 6 am to grab the best seats around the pool...then they go eat breakfast....if you come down to the pool at 9 am all chairs are taken, but few sit there....(around school holidays, this is...)",50,Jan-19,Undisclosed,2,14,ShangriLa
Amazing hotel...1st class in everything ,"Stayed here for 4 nights but wish it was 2 weeks...beautiful hotel, amazing restaurants, bars,sitting areas & the best staff ever!! Our room was beautiful and spacious. The Horizon club was superb and my partners birthday was acknowledged with a lovely cake. Nothing was too much for any staff. This hotel is fab for families but still felt relaxing as a couple. Can't wait to go back..🤗",50,Sep-19,Travelled as a couple,106,58,ShangriLa
Super,After the hustle and bustle of the F1 GP it was an absolute pleasure to spend 4 days on some serious R and R. I cannot think of a better place too stay. Everything is done so well that I never have reason to make extra requests. I fact there is no reason to leave the sanctuary of the hotel. I do however like the Penang Shangri-La because they have an Adults only area pool for one wing of the hotel. Perhaps club rooms and suites should have inclusive soft drinks at the pool. Negating the need to go to the club lounge. Would be a great addition to the club room. ,50,Sep-19,Travelled as a couple,61,104,ShangriLa
Staycation 2019,It was a very nice stay in this lovely and family-friendly hotel. The staff are very polite.  Our daughter really enjoyed playing at The Buds which is quite a huge playground.  We also have a great buffet experience at The Line restaurant.  Highly recommended.,50,Sep-19,Travelled with family,1,2,ShangriLa
Afternoon tea @ lobby is fantastic ,"Two of us having the local kueh (small cakes & snack) for less than S$30 per head. Service is attentive and polite, food are well prepared & presented. Ambience is relax, clam & elegant. The only the local tea is way too sweet. Even after adding water, it is hardly drinkable. ",50,Sep-19,Travelled with family,2876,895,ShangriLa
Wonderful luxe hotel,"While on recent stop over stays in Singapore to and from Europe I had the pleasure to stay at the Singapore Shangri-La. Love this luxe hotel!  The rooms were spacious, comfortable and clean, and the hotel had such a wonderful atmosphere.  On the first stay I very much enjoyed wonderful Chinese cuisine at The Shang Palace.  Also spent much relaxing time in their glorious Chi Spa.  I had a trip of forgetting things and when I left my daughter’s framed photo in my room they organised to have it couriered back to me in Australia. Wonderful people, they made the stay such a pleasure and made sure I had an extra special room on my last night. Definitely will be visiting again.",50,Sep-19,Travelled on business,4,10,ShangriLa
Superb Experience!!,"I stayed for a night in garden wing with my friends and I was really impressed. We used to stay in Tower Wing but we found Garden Wing is much better as rooms have balcony and is more of resort style.  The staff were all friendly and accommodating starting from the lobby especially Arif, Ning and Mica.  The Horizon Club team was also excellent. Thanks to Sherie, Ivan and Ella. We have enjoyed Horizon Club evening canapes. Food and drinks offerings were of great quality.  Breakfast buffet was endless! Great food selection.  Thank you Shangri-La.  Will be back soon!",50,Sep-19,Travelled with friends,5,11,ShangriLa
Absolutely amazing stay 10/10!,"We stayed for 5 nights here and the whole experience was wonderful. I emailed in advance to let them know the trip was for my mum's 60th birthday and they really went above and beyond to make her feel special. We got upgraded from the Tower Wing to Valley Wing and they had a birthday cake ready in the room, which was a lovely gesture. Mica accompanied us to the room to make sure everything was perfect and even gave us an framed photo of us as a nice souvenir.   The room was spotless and the service throughout our stay was outstanding. Would definitely stay here again!",50,Sep-19,Undisclosed,1,2,ShangriLa
My oasis in Singapore,"I stayed here a couple of times this year for short business trips, the most recent being this month (Sept 2019).  The stay was, as usual, efficient, friendly, comfortable and personable.  The hotel had my preferred pillow ready on my bed, so it eliminated the hassle of trying to arrange this which I often do in other hotels.  I had also arranged for a delivery from the Apple online store during my stay, and I advised the concierge about it when I checked in.  It arrived when I was out for all day meetings, and the package was on the desk in my room waiting for me when I got back at night.  Efficiency.  My wife and I also stayed here for prolonged visits a couple of times late last year, and we absolutely loved the hotel, its gardens, the breakfast offerings, the service and…",50,Sep-19,Travelled on business,249,111,ShangriLa
